"X","Y","freq"
"house of","representatives",80
"what is","happening",80
"in the","bathroom",79
"for the","record",78
"all day","long",78
"on the","horizon",78
"for the","rts",77
"of a","kind",77
"to the","north",77
"by the","federal",77
"condition of","anonymity",76
"of the","box",75
"it has","become",75
"from my","stash",74
"want to","live",74
"this is","because",73
"the status","quo",72
"in a","variety",72
"of the","major",72
"a while","since",71
"and set","aside",71
"with one","another",71
"the prime","minister",71
"in the","photo",70
"i am","sad",70
"to be","held",70
"for the","holidays",70
"the next","generation",70
"me a","little",69
"a press","conference",69
"oh my","gosh",68
"a very","special",68
"the great","lakes",68
"the most","powerful",67
"of the","bible",66
"th of","july",66
"i was","supposed",66
"with a","smile",66
"gov john","kasich",66
"the most","famous",65
"in the","midwest",65
"health care","costs",65
"in the","ground",65
"to los","angeles",65
"to be","released",65
"class goog","spellcheck",64
"yellow class","goog",64
"i was","sitting",64
"you are","enjoying",64
"hall of","famer",64
"in the","distance",64
"brothers and","sisters",63
"in the","upper",63
"of the","former",63
"in the","military",63
"on the","island",63
"i am","missing",62
"have the","ability",62
"for a","full",62
"occupy wall","street",62
"i am","officially",61
"as i","mentioned",61
"that it","does",61
"will be","posting",60
"i would","recommend",60
"soon as","possible",60
"as to","whether",60
"to the","car",60
"subject to","change",60
"the post","office",59
"a food","processor",59
"of the","total",59
"as a","freshman",59
"board of","trustees",59
"as i","write",58
"i have","posted",58
"and i","made",58
"have been","reading",58
"because i","wanted",58
"work in","progress",58
"ways in","which",58
"ups and","downs",58
"clap clap","clap",57
"fruits and","vegetables",57
"to your","tweets",56
"will be","announced",56
"and it","seems",56
"the same","amount",56
"i thought","id",55
"the kentucky","derby",55
"hundreds of","millions",55
"in the","freezer",54
"a few","moments",54
"in the","light",54
"of the","page",54
"on the","roof",54
"are a","great",54
"that even","though",54
"from high","school",54
"on the","disabled",54
"in next","dc",53
"i was","lucky",53
"i was","expecting",53
"in the","desert",53
"on the","sidelines",53
"in the","latest",53
"the john","smiths",52
"without further","ado",52
"at this","stage",52
"on the","grounds",52
"freedom of","speech",52
"at city","hall",52
"make me","laugh",51
"i was","worried",51
"in the","grade",51
"i have","given",51
"parks and","recreation",51
"have been","busy",50
"had the","pleasure",50
"the dry","ingredients",50
"of the","songs",50
"on a","plane",50
"i was","afraid",50
"in the","direction",49
"rules and","regulations",49
"first and","foremost",49
"please feel","free",48
"not wait","until",48
"in the","garage",48
"on the","walls",48
"the red","wings",48
"want to","spend",48
"in the","following",47
"at the","base",47
"and do","forget",46
"i dont","wanna",46
"the one","hand",46
"few days","later",46
"in the","village",46
"have been","wanting",45
"i was","shocked",45
"on the","sidewalk",45
"in the","ncaa",45
"when i","finally",44
"and more","importantly",44
"on a","mission",44
"fish and","wildlife",44
"fast and","furious",44
"to be","exact",43
"is a","miracle",43
"call of","duty",43
"it was","almost",43
"along the","lines",43
"in the","ring",43
"in the","refrigerator",43
"in the","group",43
"to amazon","com",42
"i just","cant",42
"on the","shelf",42
"of the","restaurant",42
"bits and","pieces",42
"but i","knew",42
"the first","amendment",42
"i am","thrilled",42
"in the","microwave",41
"the south","african",41
"of the","key",41
"the dark","knight",41
"thoughts and","prayers",41
"is a","participant",40
"i was","walking",40
"on the","weekends",40
"coach nate","mcmillan",40
"na na","na",39
"you are","wondering",39
"to be","treated",39
"which in","turn",39
"pepper to","taste",39
"for the","upcoming",39
"north dakota","township",38
"advertising and","linking",38
"amazon eu","associates",38
"and amazon","es",38
"and amazon","eu",38
"associates programmes","designed",38
"change or","removal",38
"com amazon","ca",38
"content is","provided",38
"content that","appears",38
"de amazon","fr",38
"earn advertising","fees",38
"eu associates","programmes",38
"fees by","advertising",38
"means for","sites",38
"sites to","earn",38
"but i","decided",38
"ralph waldo","emerson",38
"to the","conclusion",38
"to the","movies",38
"at the","mall",38
"take a","break",38
"in a","situation",38
"i was","reminded",38
"are not","alone",38
"colleges and","universities",38
"a gift","certificate",38
"p m","fri",38
"amp gt","lt",37
"oven to","f",37
"down the","stairs",37
"wiggle wiggle","wiggle",37
"of the","cross",37
"in the","lower",37
"born and","raised",37
"made the","decision",37
"on their","website",36
"and i","must",36
"and get","some",36
"but i","felt",36
"to the","nfl",36
"i have","lived",36
"gulf of","mexico",36
"in the","centre",35
"but i","digress",35
"of the","hill",35
"to go","ahead",35
"on the","roster",35
"coach ken","hitchcock",35
"of the","modern",35
"i dont","mean",34
"in the","novel",34
"yum yum","yum",34
"will be","giving",34
"beep beep","beep",34
"on the","topic",34
"in the","absence",34
"on the","farm",34
"fun to","watch",34
"i am","stuck",34
"we are","proud",34
"to get","involved",34
"for the","cure",34
"has the","potential",34
"more than","doubled",34
"in full","swing",34
"to be","considered",34
"in the","aftermath",34
"the cold","war",34
"the great","depression",34
"forest city","ratner",33
"what i","needed",33
"and i","wish",33
"of the","constitution",33
"of the","seven",33
"at the","grocery",33
"in the","semifinals",33
"then i","realized",32
"i really","appreciate",32
"then i","thought",32
"to be","published",32
"on a","whim",32
"and it","looks",32
"you are","willing",32
"in a","manner",32
"institute of","technology",32
"control and","prevention",32
"you can","check",31
"i am","convinced",31
"i have","chosen",31
"a whole","bunch",31
"i have","managed",31
"to the","bar",31
"gay and","lesbian",31
"are not","allowed",31
"mayor cory","booker",31
"that is","true",31
"in the","backyard",31
"centers for","disease",31
"they were","doing",31
"filed for","bankruptcy",31
"on the","sofa",30
"that i","find",30
"i can","imagine",30
"made me","realize",30
"a little","extra",30
"thanks for","checking",30
"is so","cute",30
"take for","granted",30
"a wire","rack",30
"district of","columbia",30
"the th","inning",30
"at least","six",30
"of the","civil",30
"can be","purchased",30
"have to","buy",30
"daily bread","designs",29
"good and","evil",29
"i am","aware",29
"give a","shit",29
"meow meow","meow",29
"to say","hi",29
"does not","exist",29
"have always","loved",29
"the humane","society",29
"to a","simmer",29
"is an","example",29
"as a","man",29
"male and","female",29
"it is","necessary",29
"in this","regard",29
"for a","touchdown",29
"liberty kansas","genealogy",28
"is an","interesting",28
"i am","obsessed",28
"than i","expected",28
"i was","growing",28
"to say","goodbye",28
"i was","younger",28
"to the","finish",28
"democrats and","republicans",28
"in a","victory",28
"from the","perspective",28
"skillet over","medium",28
"of the","proposed",28
"of the","nba",28
"the blue","jays",28
"to be","different",28
"on a","trip",28
"in new","hampshire",28
"as a","rookie",28
"i had","hoped",27
"in your","mouth",27
"but it","doesnt",27
"from the","inside",27
"the fukushima","daiichi",27
"at the","museum",27
"the national","anthem",27
"green bay","packers",27
"a la","carte",27
"of the","stories",27
"custom paintball","jersey",26
"the design","custom",26
"i was","planning",26
"hotel in","kansas",26
"in my","kitchen",26
"dope dope","dope",26
"with the","fam",26
"racks on","racks",26
"thanks for","joining",26
"there are","certain",26
"on the","contrary",26
"to do","business",26
"the romney","campaign",26
"it is","unclear",26
"on the","pga",26
"for the","benefit",26
"up for","grabs",26
"to the","mix",26
"a standing","ovation",26
"the egg","whites",26
"a little","boy",25
"of my","childhood",25
"the holy","ghost",25
"in the","blank",25
"on the","lake",25
"on the","lookout",25
"first round","playoff",25
"in the","forest",25
"the big","bang",25
"in the","trunk",25
"times more","likely",25
"all of","whom",25
"does not","include",25
"when it","rains",25
"of the","political",25
"chicago chicago","illinois",24
"in italy","pashmina",24
"south carolina","windpool",24
"in our","hearts",24
"the and","pivots",24
"had to","work",24
"i first","saw",24
"in the","wilderness",24
"a big","thank",24
"i can","barely",24
"made me","cry",24
"should have","known",24
"is a","common",24
"for this","project",24
"to say","hello",24
"had a","bad",24
"want to","lose",24
"a million","dollars",24
"if you","prefer",24
"you will","notice",24
"on the","grill",24
"have a","strong",24
"pros and","cons",24
"from the","government",24
"as a","sophomore",24
"gov ted","strickland",24
"meet and","greet",24
"have been","killed",24
"public and","private",24
"you can","hear",24
"chicago illinois","incorporated",23
"the jeep","sioux",23
"spirit of","egalitarian",23
"to the","er",23
"chocolate chip","cookies",23
"nah nah","nah",23
"like an","idiot",23
"in the","netherlands",23
"at a","party",23
"to do","whatever",23
"people with","disabilities",23
"new york","knicks",23
"have been","blessed",23
"board of","supervisors",23
"iowa state","fairgrounds",22
"the tamil","astrology",22
"had to","share",22
"north dakota","snowmobile",22
"when we","arrived",22
"harass harass","harass",22
"ah ah","ah",22
"i had","forgotten",22
"have to","listen",22
"in an","instant",22
"on the","patio",22
"having a","hard",22
"in the","grass",22
"have a","clue",22
"over a","decade",22
"of the","tournament",22
"at the","helm",22
"than the","average",22
"the roman","catholic",22
"commissioner jimmy","dimora",22
"band of","misfits",22
"da da","da",22
"gov rick","snyder",22
"in the","spotlight",22
"south carolina","florists",21
"restaurant wilmington","delaware",21
"thai restaurant","wilmington",21
"on the","sabbath",21
"i also","added",21
"free game","online",21
"game online","paintball",21
"off the","hook",21
"in the","loop",21
"of the","beast",21
"with a","hint",21
"an integral","part",21
"the ten","commandments",21
"in the","shade",21
"to the","poor",21
"on the","treadmill",21
"to a","local",21
"a three","pointer",21
"the long","haul",21
"in the","gulf",21
"speaker john","boehner",21
"santelena hotel","venice",20
"italy vacation","packages",20
"the nec","mobilepro",20
"the vacation","villa",20
"vacation villa","italy",20
"carolina mortgage","refinancing",20
"marx and","engels",20
"i was","amazed",20
"the enzo","ferrari",20
"i was","determined",20
"i have","created",20
"art hotel","florence",20
"but i","couldnt",20
"in sc","dec",20
"have a","fabulous",20
"my big","fat",20
"i am","goin",20
"of the","semester",20
"the easter","bunny",20
"to the","fullest",20
"in the","hopes",20
"barnes and","noble",20
"and then","theres",20
"i was","scared",20
"of human","rights",20
"across the","globe",20
"of the","medical",20
"of the","action",20
"to the","market",20
"of a","nation",20
"up with","him",20
"like a","duck",20
"on the","st",20
"is a","word",20
"come to","mind",20
"in the","role",20
"of the","seventh",20
"had a","big",20
"p m","tue",20
"the ritz","carlton",20
"the same","number",20
"of the","sky",20
"president joe","biden",20
"of the","ninth",20
"on the","highway",20
"european central","bank",20
"the international","monetary",20
"of the","spectrum",20
"in the","republican",20
"in at","bats",20
"in my","ear",19
"public relations","counsel",19
"jobs north","dakota",19
"on the","stove",19
"cricket world","cup",19
"cesana italy","accommodation",19
"in a","nutshell",19
"north dakota","workforce",19
"on my","ipod",19
"the calvin","klein",19
"twists and","turns",19
"out of","order",19
"to a","higher",19
"a large","skillet",19
"i am","honored",19
"alice in","wonderland",19
"of the","king",19
"to be","replaced",19
"the th","percentile",19
"on the","brink",19
"the first","player",19
"in the","finals",19
"trial and","error",19
"the new","yorker",19
"on the","dl",19
"u s","census",19
"gaston south","carolina",18
"south carolina","attractions",18
"the gaston","south",18
"at the","fukushima",18
"sense of","humour",18
"dakota indian","artifact",18
"the nec","multisync",18
"band of","brides",18
"to no","avail",18
"east media","sampler",18
"jules and","jim",18
"at the","cheltenham",18
"pasty pasty","pasty",18
"nbsp nbsp","nbsp",18
"i have","finished",18
"need a","parachute",18
"parachute to","skydive",18
"i am","putting",18
"of the","french",18
"about how","they",18
"light and","fluffy",18
"in hong","kong",18
"to hold","onto",18
"the baking","sheet",18
"and everything","else",18
"of the","lineup",18
"as i","watched",18
"wizard of","oz",18
"http bit","ly",18
"the eiffel","tower",18
"of the","roman",18
"down the","aisle",18
"of the","pacific",18
"a m","edt",18
"child sexual","abuse",18
"intent to","distribute",18
"to be","built",18
"bride and","groom",18
"and he","says",18
"out of","context",18
"will be","required",18
"gov jay","nixon",18
"association of","realtors",18
"his best","friend",18
"or per","diluted",18
"in the","meters",18
"gov chris","christies",18
"in the","nfc",18
"in the","workplace",18
"have been","charged",18
"create their","own",18
"meep meep","meep",17
"the renault","clio",17
"north dakota","rentals",17
"paintball gun","cases",17
"the paintball","gun",17
"fields in","minnesota",17
"wilson and","terpil",17
"of the","present",17
"l a","noire",17
"north dakota","maquest",17
"was a","lovely",17
"the immaculate","conception",17
"of the","philippines",17
"this is","exactly",17
"the co","op",17
"i am","crying",17
"made in","china",17
"of the","german",17
"tick tick","tick",17
"of the","congress",17
"it was","already",17
"until the","mixture",17
"is the","highest",17
"adam and","eve",17
"is a","classic",17
"the chicago","cubs",17
"a half","hours",17
"for the","cleveland",17
"for the","remainder",17
"greenhouse gas","emissions",17
"the season","opener",17
"manager mike","matheny",17
"u s","attorneys",17
"for the","holiday",17
"in the","temple",17
"under the","tree",16
"to the","place",16
"lithium ion","cordless",16
"city kansas","missouri",16
"missouri news","televison",16
"the public","domain",16
"i was","completely",16
"camping trailer","hilo",16
"the camping","trailer",16
"want to","add",16
"a great","many",16
"at s","ct",16
"the lib","dems",16
"to the","vet",16
"carolina insurance","comapny",16
"the lord","ruler",16
"that i","wasnt",16
"from per","cent",16
"i did","enjoy",16
"of the","pictures",16
"and i","promise",16
"pair of","jeans",16
"on my","nerves",16
"is a","waste",16
"on the","rd",16
"duh duh","duh",16
"on my","iphone",16
"woo woo","woo",16
"looking for","someone",16
"shades of","grey",16
"you can","enter",16
"the front","porch",16
"the muslim","brotherhood",16
"at the","forefront",16
"can be","quite",16
"as it","can",16
"what she","wants",16
"with his","father",16
"does not","require",16
"in a","brief",16
"small business","owners",16
"of the","staff",16
"in the","hallway",16
"of the","gods",16
"of a","larger",16
"in the","hot",16
"a no","brainer",16
"to find","ways",16
"with the","red",16
"is a","guy",16
"members for","nonmembers",16
"of the","loan",16
"to the","wrong",16
"in the","northwest",16
"the most","obvious",16
"the two","companies",16
"of the","titans",16
"to be","addressed",16
"girl who","reads",15
"paintball marker","upgrades",15
"on the","deck",15
"of the","resurrection",15
"dirty rotten","scoundrels",15
"board of","appeal",15
"of the","emergency",15
"the mitsubishi","evo",15
"of the","countrys",15
"is the","link",15
"middle of","nowhere",15
"in the","sunshine",15
"line of","scrimmage",15
"not an","option",15
"kim jong","il",15
"i was","here",15
"of the","canyon",15
"on the","backs",15
"to the","nearest",15
"book of","mormon",15
"to the","lawsuit",15
"a serial","killer",15
"declaration of","independence",15
"under the","radar",15
"commissioner roger","goodell",15
"hotel birmingham","nec",14
"the mitsubishi","motors",14
"cedar rapids","iowa",14
"the dhs","cedar",14
"i put","together",14
"the nicene","creed",14
"air conditioned","mario",14
"i was","standing",14
"they are","usually",14
"pride and","prejudice",14
"the high","priest",14
"nec mobilepro","pda",14
"i have","recently",14
"the mona","lisa",14
"when i","returned",14
"a little","on",14
"anti virus","software",14
"and in","particular",14
"with the","flow",14
"thank you","notes",14
"in a","bag",14
"of the","closet",14
"thank you","joan",14
"you can","join",14
"so stay","tuned",14
"i am","assuming",14
"of the","wedding",14
"to be","changed",14
"a co","worker",14
"at first","glance",14
"a little","harder",14
"for the","ride",14
"i was","angry",14
"i was","pleased",14
"pain and","suffering",14
"water and","sewer",14
"as a","consequence",14
"off the","charts",14
"the most","memorable",14
"in the","evenings",14
"will be","attending",14
"manager manny","acta",14
"the boston","celtics",14
"food and","beverage",14
"have a","tendency",14
"into the","sea",14
"freedom of","expression",14
"the connection","between",14
"security and","medicare",14
"the two","countries",14
"for the","study",14
"about two","thirds",14
"the most","talented",14
"newark mayor","cory",14
"gm and","chrysler",14
"of the","oldest",14
"the right","hander",14
"in a","positive",14
"and the","results",14
"to the","rescue",14
"the first","woman",14
"at a","minimum",14
"as a","surprise",14
"all the","rage",14
"state of","affairs",14
"the baking","dish",14
"you are","running",14
"of the","video",14
"de la","rosa",14
"clean and","simple",13
"carolina wedding","announcements",13
"carolina unemployment","seneca",13
"south carolina","unemployment",13
"evolution mitsubishi","forums",13
"the evolution","mitsubishi",13
"of agricultural","products",13
"and it","turned",13
"barking and","dagenham",13
"of the","copyright",13
"of the","sinful",13
"grand theater","bismarck",13
"the grand","theater",13
"the acura","mdx",13
"on the","potty",13
"and my","brother",13
"badger badger","badger",13
"i am","keeping",13
"foul foul","foul",13
"new years","resolution",13
"whoa whoa","whoa",13
"steelers steelers","steelers",13
"i am","gunna",13
"of the","royal",13
"a mental","illness",13
"at a","hotel",13
"i have","experienced",13
"john the","baptist",13
"love and","respect",13
"bars and","restaurants",13
"the da","vinci",13
"fish and","chips",13
"of the","cuyahoga",13
"cream of","tartar",13
"republicans and","democrats",13
"the speed","limit",13
"yards on","carries",13
"of the","highlights",13
"born of","god",12
"could be","happier",12
"week of","daniel",12
"the map","parma",12
"one lucky","winner",12
"an added","bonus",12
"winnie the","pooh",12
"holiday italy","pompei",12
"the renault","laguna",12
"i am","fairly",12
"the star","child",12
"to what","extent",12
"i could","hardly",12
"over for","dinner",12
"on their","faces",12
"in saudi","arabia",12
"of the","buildings",12
"become a","follower",12
"north dakota","motels",12
"the grand","forks",12
"philip k","dick",12
"slice of","bread",12
"the trade","marks",12
"are as","follows",12
"and one","day",12
"the acura","tl",12
"and i","tried",12
"to the","brim",12
"it was","ok",12
"the real","question",12
"trick or","treat",12
"woof woof","woof",12
"for your","patience",12
"the first","chapter",12
"huh huh","huh",12
"this little","piggy",12
"ladies and","gentlemen",12
"mikey mikey","mikey",12
"time to","relax",12
"an email","address",12
"give a","damn",12
"i am","soo",12
"are a","jet",12
"bamboozle bamboozle","bamboozle",12
"thanks for","spreading",12
"an electric","mixer",12
"in a","warm",12
"along with","all",12
"a little","easier",12
"they are","capable",12
"red pepper","flakes",12
"until well","combined",12
"like a","kid",12
"at first","sight",12
"of the","cave",12
"in the","dryer",12
"for the","duration",12
"and it","works",12
"cum laude","honors",12
"to the","dentist",12
"susan g","komen",12
"as a","teacher",12
"of the","tribe",12
"on the","label",12
"of the","circle",12
"of the","atlantic",12
"rio de","janeiro",12
"that it","makes",12
"executive ed","fitzgerald",12
"above and","beyond",12
"and my","mother",12
"friends and","neighbors",12
"the sun","devils",12
"in some","instances",12
"william g","batchelder",12
"i will","choose",12
"editor in","chief",12
"de la","renta",12
"in st","petersburg",12
"state hillary","rodham",12
"at a","disadvantage",12
"the miami","marlins",12
"choice between","mitt",12
"it was","meant",12
"human growth","hormone",12
"spokesman michael","drewniak",12
"health care","overhaul",12
"on the","cusp",12
"sweeney d","gloucester",12
"the european","central",12
"is a","sin",11
"under the","covers",11
"a few","drops",11
"in the","jungle",11
"in the","interests",11
"would have","preferred",11
"a little","crazy",11
"try to","avoid",11
"i think","maybe",11
"the atlantic","yards",11
"i was","curious",11
"in black","ops",11
"to know","everything",11
"etc etc","etc",11
"on a","diet",11
"i turned","around",11
"i am","tryna",11
"i am","pissed",11
"faded faded","faded",11
"nieces and","nephews",11
"of the","sport",11
"when i","leave",11
"non profit","organization",11
"in the","cloud",11
"for the","winter",11
"it is","often",11
"at the","station",11
"not for","profit",11
"as it","stands",11
"in the","mountains",11
"the orlando","sentinel",11
"at home","moms",11
"j p","morgan",11
"he was","pronounced",11
"hall of","famers",11
"the red","bull",11
"on a","baking",11
"police are","investigating",11
"frank lloyd","wright",11
"the containment","vessel",11
"past two","decades",11
"u s","cellular",11
"solow niederman","cc",11
"hilton hotel","birmingham",10
"trinidad and","tobago",10
"the jfk","assassination",10
"dc cluster","ch",10
"origin of","agricultural",10
"lee seung","gi",10
"in his","arms",10
"cm x","cm",10
"the sistine","chapel",10
"had the","privilege",10
"or the","koran",10
"up for","yourselves",10
"with life","paths",10
"add the","eggs",10
"sc in","fpdc",10
"the wms","gallery",10
"of the","gentiles",10
"a never","ending",10
"to the","window",10
"in the","cellar",10
"its too","late",10
"with my","camera",10
"and i","highly",10
"is the","ultimate",10
"that i","hadnt",10
"world of","warcraft",10
"world cup","dvd",10
"is very","difficult",10
"possibilities are","endless",10
"you can","bet",10
"of the","trees",10
"the foreign","nationals",10
"in all","honesty",10
"i said","yes",10
"for tg","rs",10
"rs hit","intraday",10
"if you","click",10
"and we","both",10
"book of","acts",10
"sims sims","sims",10
"be a","guest",10
"in the","english",10
"and the","weather",10
"me to","stay",10
"into our","lives",10
"sharon sharon","sharon",10
"am a","sucker",10
"how to","spell",10
"romeo and","juliet",10
